TAVG,FF_AVG,RH_AVG,SS,DDD_X,DDD_CAR,TAVG^2,TAVG FF_AVG,TAVG RH_AVG,TAVG SS,TAVG DDD_X,TAVG DDD_CAR,FF_AVG^2,FF_AVG RH_AVG,FF_AVG SS,FF_AVG DDD_X,FF_AVG DDD_CAR,RH_AVG^2,RH_AVG SS,RH_AVG DDD_X,RH_AVG DDD_CAR,SS^2,SS DDD_X,SS DDD_CAR,DDD_X^2,DDD_X DDD_CAR,DDD_CAR^2,RR
28.4,2.0,79.0,4.3,190.0,180.0,806.56,56.8,2243.6,122.11999999999999,5396.0,5112.0,4.0,158.0,8.6,380.0,360.0,6241.0,339.7,15010.0,14220.0,18.49,817.0,774.0,36100.0,34200.0,32400.0,16.5
28.8,2.0,72.0,4.9,140.0,180.0,829.44,57.6,2073.6,141.12,4032.0,5184.0,4.0,144.0,9.8,280.0,360.0,5184.0,352.8,10080.0,12960.0,24.010000000000005,686.0,882.0000000000001,19600.0,25200.0,32400.0,0.0
28.6,2.0,72.0,6.3,250.0,270.0,817.96,57.2,2059.2000000000003,180.18,7150.0,7722.0,4.0,144.0,12.6,500.0,540.0,5184.0,453.59999999999997,18000.0,19440.0,39.69,1575.0,1701.0,62500.0,67500.0,72900.0,0.0
28.0,1.0,77.0,8.7,270.0,270.0,784.0,28.0,2156.0,243.59999999999997,7560.0,7560.0,1.0,77.0,8.7,270.0,270.0,5929.0,669.9,20790.0,20790.0,75.68999999999998,2349.0,2349.0,72900.0,72900.0,72900.0,0.0
25.8,2.0,88.0,6.6,160.0,180.0,665.64,51.6,2270.4,170.28,4128.0,4644.0,4.0,176.0,13.2,320.0,360.0,7744.0,580.8,14080.0,15840.0,43.559999999999995,1056.0,1188.0,25600.0,28800.0,32400.0,14.6
28.1,1.0,76.0,0.5,150.0,0.0,789.6100000000001,28.1,2135.6,14.05,4215.0,0.0,1.0,76.0,0.5,150.0,0.0,5776.0,38.0,11400.0,0.0,0.25,75.0,0.0,22500.0,0.0,0.0,4.7
28.1,3.0,72.0,6.9,360.0,0.0,789.6100000000001,84.30000000000001,2023.2,193.89000000000001,10116.0,0.0,9.0,216.0,20.700000000000003,1080.0,0.0,5184.0,496.8,25920.0,0.0,47.61000000000001,2484.0,0.0,129600.0,0.0,0.0,0.0
25.0,1.0,79.0,7.0,240.0,0.0,625.0,25.0,1975.0,175.0,6000.0,0.0,1.0,79.0,7.0,240.0,0.0,6241.0,553.0,18960.0,0.0,49.0,1680.0,0.0,57600.0,0.0,0.0,0.0
25.6,2.0,79.0,8.0,200.0,225.0,655.3600000000001,51.2,2022.4,204.8,5120.0,5760.0,4.0,158.0,16.0,400.0,450.0,6241.0,632.0,15800.0,17775.0,64.0,1600.0,1800.0,40000.0,45000.0,50625.0,0.0
25.4,2.0,74.0,7.6,120.0,180.0,645.16,50.8,1879.6,193.04,3048.0,4572.0,4.0,148.0,15.2,240.0,360.0,5476.0,562.4,8880.0,13320.0,57.76,912.0,1368.0,14400.0,21600.0,32400.0,0.0
25.3,2.0,74.0,8.0,130.0,180.0,640.09,50.6,1872.2,202.4,3289.0,4554.0,4.0,148.0,16.0,260.0,360.0,5476.0,592.0,9620.0,13320.0,64.0,1040.0,1440.0,16900.0,23400.0,32400.0,0.0
24.6,2.0,77.0,8.0,220.0,180.0,605.1600000000001,49.2,1894.2,196.8,5412.0,4428.0,4.0,154.0,16.0,440.0,360.0,5929.0,616.0,16940.0,13860.0,64.0,1760.0,1440.0,48400.0,39600.0,32400.0,0.0
